judul,judul_id,Pasal,Content,Content_id,,,,,
PERMEN BUMN No 1147 Tahun 2017,2114717,PASAL 11,"Bagi anak perusahaan BUMN dan perusahaan terafiliasi  BUMN, dapat memberlakukan Peraturan Menteri ini yang  dikukuhkan dalam RUPS anak perusahaan ata u perusahaan  terafiliasi yang bersangkutan.",211471700011,,,,,
PERMEN BUMN No 1147 Tahun 2017,2114717,PASAL 12,"(1) Kerja  sama untuk  Pendayagunaan Aset Tetap  atau  bentuk lainnya  yang sudah dilaksanakan atau telah  mendapat persetujuan sesuai dengan ketentuan  Anggaran Dasar masing -masing BUMN sebelum  diundangkannya Per aturan Menteri ini, tetap berlaku.   (2) Dalam hal kerja sama  untuk Pendayagunaan Aset Tetap   atau bentuk lainnya  yang sedang dalam proses  pengkajian dan/atau proses persetujuan sesuai dengan  ketentuan Anggaran Dasar masing -masing BUMN pada  saat Peraturan Menteri  ini diundangkan , tetap dapat  dilanjutkan berdasarkan Peraturan Menteri yang berlaku  sebelumnya, selama SOP belum disusun atau  disesuaikan dengan ketentuan Peraturan Menteri ini atau  waktu 6 (enam) bulan (mana yang lebih cepat).   (3) SOP mengenai kerja sama  dengan Mitra yang sudah ada  sebelum Peraturan Menteri ini berlaku, dinyatakan masih  tetap berlaku sepanjang tidak bertentangan dengan atau  belum disesuaikan berdasarkan Peraturan Menteri ini.",211471700012,,,,,
PERMEN BUMN No 1147 Tahun 2017,2114717,PASAL 13,"Kerja  Sama untuk keperluan pelayanan Instansi Pemerintah   di kawasan kebandarudaraan dan kepelabuhanan sebagai  bagian dari fasilitas kebandarudaraan dan kepelabuhanan  yang diwajibkan keberadaannya oleh peraturan perundang - undangan, pelaksanaannya dilakukan sesuai dengan  ketentuan peraturan perundang -undangan di bidang  kebandarudaraan dan kepelabuhanan.",211471700013,,,,,s
PERMEN BUMN No 1147 Tahun 2017,2114717,PASAL 14,"Pada saat Peraturan Menteri ini mulai berlaku, Peraturan  Menteri BUMN Nomor PER -13/MBU/09/2014 tentang  Pedoman Pendayagunaan Aset Tetap Badan Usaha Milik  Negara, dicabut dan dinyatakan tidak berlaku.",211471700014,,,,,
PERMEN BUMN No 1147 Tahun 2017,2114717,PASAL 15,Peraturan Menteri ini mulai berlaku pada tanggal  diundangkan.,211471700015,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 1,"Manajemen Talenta Pegawai Negeri Sipil di Lingkungan  Kementerian Badan Usaha Milik Negara dimaksudkan sebagai  pedoman pengelolaan dan pen gembangan karier pegawai  dalam tata kelola sistem merit yang disusun untuk  mewujudkan visi dan misi organisasi melalui penempatan  talenta terbaik pada jabatan prioritas dan untuk menyusun  perencanaan suksesi yang obyektif, terencana, terukur dan  akuntabel .",211961900001,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 2,"(1) Peraturan Menteri ini mengatur mengenai Manajemen  Talenta Pegawai Negeri Sipil di lingkungan Kementerian  Badan Usaha Milik Negara yang meliputi meliputi filosofi,  strategi, metodologi dan proses, teknologi, implementasi,  output, keberlanjutan, da n manajemen perubahan dalam  kerangka manajemen talenta Pegawai Negeri Sipil  Kementerian Badan Usaha Milik Negara untuk  menduduki Jabatan Administrasi dan Jabatan Pimpinan  Tinggi.   (2) Manajemen Talenta sebagaimana dimaksud pada ayat  (1), dituangkan dalam Pedoma n Manajemen Talenta  sebagaimana tercantum dalam Lampiran I yang menjadi  bagian tidak terpisahkan dari Peraturan Menteri ini.",211961900002,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 3,(1) Manajemen Talenta sebagaimana dimaksud dalam Pasal  2 ayat (1) dilaksanakan melalui proses:   a. perencanaan talenta ( talent pla nning );  b. pemetaan talenta ( talent identification );  c. penetapan jabatan prioritas ( critical job selection );  d. hak dan kewajiban talenta ; dan   e. asesmen dan seleksi .  (2) Pemetaan Pegawai Negeri Sipil sebagaimana dimaksud  pada ayat (1) huruf a dituangkan melalui matriks  pemetaan talenta (9 boxes ) sebagaimana tercantum  dalam Lampiran yang menjadi bagian tidak terpisahkan  dari Peraturan Menteri ini.,211961900003,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 4,Manajemen Talenta didukung dengan infrastruktur yang  terdiri dari:   1. Jabatan  prioritas ;  2. Profil  talent a;  3. Asesmen dan Sel eksi;  4. Komite Talenta (Talent Committee );  5. Tim Penilai Kinerja PNS;   6. Mentoring  dan Coaching ;  7. Program Pengembangan Talenta;   8. Basis data Sumber Daya Manusia;   9. Portal Manajemen Talenta; dan   10. Anggaran.,211961900004,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 5,Manajemen Talenta Pegawai Negeri Sipil di Lingkungan  Kementerian Badan Usaha Milik Negara sebagaimana  dimaksud dalam Pasal 2 akan dievaluasi dan disesuaikan  secara berkelanjutan sesuai dinamika perubahan dan  kebutuhan organisasi.,211961900005,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 6,"Pada saat Peraturan Menteri ini berlaku, Keputusan Menteri  Badan Usaha Milik Negara Nomor SK -154/MBU/07/2019  tentang Manajemen Talenta Di Lingkungan Kementerian  Badan Usaha Milik Negara , dicabut dan dinyatakan tidak  berlaku .",211961900006,,,,,
PERMEN BUMN No 1196 Tahun 2019,2119619,PASAL 7,"Peraturan Menteri ini mulai berlaku pada tanggal  diundangkan.     Agar setiap orang mengetahuin ya, memerintahkan  pengundangan Peraturan Menteri ini dengan penempatannya  dalam Berita Negara Republik Indonesia.",211961900007,,,,,
PERMEN BUMN No 1701 Tahun 2015,2170115,PASAL 1,Ketentuan mengenai Pedoman Pengelolaan Sistem Pelaporan  Dugaan Pelanggaran Di Lingkungan Kementerian Badan  Usaha Milik Negara tercantum dalam Lampiran yang  merupakan bagian yang tidak terpisahkan dari Peraturan  Menteri Badan Usaha Milik Negara ini.,217011500001,,,,,
