judul,Pasal,Content
PERMEN_BUMN_No_961_Tahun_2022_Merubah_958_2021_cleaned.txt,PASAL 1,"Dalam Peraturan Mente ri ini yang dimaksud dengan:   1. Badan Usaha Milik Negara yang selanjutnya  disingkat BUMN adalah badan usaha yang seluruh  atau sebagian besar modalnya dimiliki oleh Negara  melalui penyertaan secara langsung yang berasal  dari kekayaan Negara yang dipisahkan.   2. Perusahaan Perseroan yang selanjutnya disebut  Persero adalah BUMN yang berbentuk perseroan  terbatas yang modalnya terbagi dalam saham yang  seluruh atau paling sedikit 51% (lima puluh satu  persen) sahamnya dimiliki oleh Negara Republik  Indonesia yang tujuan u tamanya mengejar  keuntungan.   3. Perusahaan Perseroan Terbuka yang selanjutnya  disebut Persero Terbuka adalah Persero yang modal  dan jumlah pemegang sahamnya memenuhi kriteria  tertentu, atau Persero yang melakukan penawaran  umum sesuai dengan peraturan perunda ng- undangan di bidang pasar modal.   4. Perusahaan Umum yang selanjutnya disebut Perum  adalah BUMN yang seluruh modalnya dimiliki  negara dan tidak terbagi atas saham, yang  bertujuan untuk kemanfaatan umum berupa  penyediaan barang dan/atau jasa yang bermutu  tinggi dan sekaligus mengejar keuntungan  berdasarkan prinsip pengelolaan perusahaan.   5. Menteri adalah menteri yang ditunjuk dan/atau  diberi kuasa untuk mewakili pemerintah selaku  pemegang saham negara pada Persero dan pemilik  modal pada Perum dengan memperhatika n  peraturan perundang -undangan.   6. Wakil Menteri BUMN I dan Wakil Menteri BUMN II  yang selanjutnya disingkat Wakil Menteri, adalah  pejabat di bawah Menteri yang mempunyai tugas  membantu Menteri dalam memimpin pelaksanaan  tugas Kementerian BUMN.   7. Sekretaris Kem enterian adalah pejabat Eselon I di  bawah Menteri yang membidangi fungsi administrasi  di Kementerian BUMN.   8. Deputi adalah pejabat Eselon I di bawah Menteri  yang membidangi sumber daya manusia BUMN.   9. Asisten Deputi adalah pejabat Eselon II di bawah  Deputi yan g membidangi manajemen sumber daya  manusia BUMN.   10. Asisten Deputi Sektor adalah pejabat Eselon II di  bawah Wakil Menteri yang membidangi portofolio  BUMN.   11. Direksi adalah organ BUMN yang bertanggung jawab  atas pengurusan BUMN untuk kepentingan dan  tujuan BUMN serta mewakili BUMN baik di dalam  maupun di luar pengadilan.   12. Dewan Komisaris adalah organ Persero yang  bertugas melakukan pengawasan dan memberikan  nasihat kepada Direksi dalam menjalankan kegiatan  pengurusan Persero.   13. Dewan Pengawas adalah organ Perum yang  bertugas  melakukan pengawasan dan memberikan nasihat  kepada Direksi dalam menjalankan kegiatan  pengurusan Perum.   14. Rapat Umum Pemegang Saham yang selanjutnya  disingkat RUPS adalah Organ Perseroan yang  mempunyai wewenang yang tidak diberikan kepada  Direksi a tau Dewan Komisaris dalam batas yang  ditentukan dalam undang -undang dan/atau  anggaran dasar.   15. Perusahaan adalah badan usaha selain BUMN.   16. Komite Talenta adalah komite yang dibentuk untuk  melakukan penjaringan dan evaluasi terhadap  Talenta Direksi BUMN yang t erdiri dari Komite  Talenta BUMN yang ditetapkan dengan Keputusan  Direksi dan Komite Talenta Kementerian BUMN  yang ditetapkan dengan Keputusan Sekretaris  Kementerian.   17. Komite Suksesi adalah komite yang dibentuk untuk  melakukan Uji Kelayakan dan Kepatutan ter hadap  Kandidat Direksi BUMN.   18. Talenta Terseleksi ( Selected Talent ) adalah talenta  BUMN yang diusulkan oleh Direksi BUMN kepada  Dewan Komisaris/Dewan Pengawas BUMN,  berdasarkan penilaian atas kinerja dan kapasitas  yang bersangkutan.   19. Talenta Ternominasi ( Nomi nated Talent ) adalah  Talenta Terseleksi dan Direksi yang sedang  menjabat yang dinominasikan oleh Dewan  Komisaris/Dewan Pengawas BUMN dan Talenta  Kementerian BUMN yang dinominasikan oleh  Sekretaris Kementerian BUMN, kepada Menteri  BUMN.   20. Talenta yang Memenuh i Persyaratan ( Eligible Talent )  adalah Talenta Ternominasi yang telah memenuhi  Persyaratan formal dan Persyaratan lainnya Anggota  Direksi BUMN serta pemeriksaan latar belakang  (background checking ).  21. Talenta Terkualifikasi ( Qualified Talent ) adalah  Talenta yang Memenuhi Persyaratan yang telah  mengikuti asesmen oleh lembaga profesional dan  mendapatkan rekomendasi untuk masuk ke dalam  Wadah Talenta ( Talent Pool ) Kementerian BUMN.   22. Kandidat adalah Talenta Terkualifikasi ( Qualified  Talent ) yang diusulkan oleh Kom ite Suksesi untuk  dipilih sebagai Direksi BUMN oleh Menteri BUMN  atau Tim Penilai Akhir (TPA).   23. Uji Kelayakan dan Kepatutan yang selanjutnya  disebut UKK adalah proses penilaian atas  kompetensi, track record, keahlian ( expertise ),  kepribadian ( traits ) terhad ap Qualified Talent  untuk  menghasilkan Kandidat yang diajukan kepada  Menteri BUMN/Tim Penilai Akhir sebagai Anggota  Direksi BUMN.   24. Asesmen adalah proses pengukuran kelayakan  kompetensi Talenta Direksi yang dilakukan oleh  lembaga profesional yang ditetapkan oleh Menteri.   25. Manajemen Talenta adalah bagian dari pengelolaan  dan pengembangan yang meliputi penjaringan,  penilaian, pengklasifikasian, pengembangan, dan  perputaran talenta yang berlapis (multi layering),  objektif, terencana, terukur, dan akuntabel.   26. Sistem Manajemen Talenta BUMN Berbasis  Teknologi Informasi adalah sistem manajemen  talenta BUMN yang dalam pelaksanaannya  didukung dengan teknologi informasi, sesuai  kebijakan yang ditetapkan oleh Kementerian BUMN."
PERMEN_BUMN_No_961_Tahun_2022_Merubah_958_2021_cleaned.txt,PASAL 2,2. D
PERMEN_BUMN_No_961_Tahun_2022_Merubah_958_2021_cleaned.txt,PASAL 3,"iantara Pasal 2 dan Pasal 3 disisipkan 3 (ti ga) Pasal,  yakni Pasal 2A, Pasal 2B, dan Pasal 2C, sehingga  berbunyi sebagai berikut:     Pasal 2A   Dalam melakukan pengukuran integritas, perilaku yang  baik, dan perilaku jujur calon anggota Direksi, Menteri  harus memperhatikan dan mempertimbangkan daftar  dan rekam jejak.     Pasal 2B   Secara berkala Menteri menyusun daftar dan rekam jejak  Direksi, dan/atau calon Direksi, dengan kriteria telah  ditetapkan sebagai tersangka, terdakwa atau dinyatakan  bersalah dengan putusan pengadilan yang berkekuatan  hukum tetap ( in kracht ) karena:   a. melakukan tindakan yang merugikan perusahaan  dan/atau keuangan negara;   b. melanggar ketentuan anggaran dasar perusahaan,  ketentuan internal perusahaan, dan/atau peraturan  perundang -undangan di bidang tindak pidana  korupsi; dan/atau   c. terpapar  paham radikalisme, terlibat terorisme,  komunisme, atau penyalahgunaan narkotika,  psikotropika, dan zat adiktif lainnya.         Pasal 2C   Sumber informasi daftar dan rekam jejak Direksi,  dan/atau Calon Direksi dapat diperoleh dari:   a. kementerian dan lembaga peme rintah non  kementerian;   b. institusi negara yang melaksanakan audit; dan/atau   c. aparat penegak hukum.     3. Diantara BAB II dan BAB III disisipkan 1 (satu) BAB,  yakni BA"
