judul,BAB,Pasal,Content
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 11,"(1)Pengusaha dalam melaksanakan rencana K3 harus melakukan kegiatan dalam pemenuhan persyaratan K3. (2)Kegiatan sebagaimana dimaksud pada ayat (1) paling sedikit meliputi: a.tindakan pengendalian ; b.perancangan ( design ) dan rekayasa; c.prose dur dan instruksi kerja; d.penyerahan sebagian pelaksanaan pekerjaan; e.pembelian/pengadaan barang dan jasa; f.produk akhir; g.upaya menghadapi keadaan darurat kecelakaan dan bencana industri; dan h.rencana dan pemulihan keadaan darurat. (3)Kegiatan sebagaimana dimaks ud pada ayat (2) huruf a sampai dengan huruf f, dilaksanakan berdasarkan identifikasi bahaya, penilaian, dan pengendalian r isiko. (4)Kegiatan sebagaimana dimaksud pada ayat ( 2)huruf g danhuruf h dilaksanakan berdasarkan potensi bahaya, investigasi, dan ana lisa kecelakaan."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 12,"(1)Pengusaha dalam melaksanakan kegiatan sebagaimana dimaksud dalam Pasal 11 harus: a.menunjuk sumber daya manusia yang mempunyai kompetensi kerja dan kewenangan di bidang K3; b.melibatkan seluruh pekerja/buruh; c.membuat petunjuk K3 yang harus dipatuhi oleh seluruh pekerja/buruh, orang lain selain pekerja/buruh yang berada di perusahaan, dan pihak lain yang terkait ; d.membuat prosedur informasi ; e.membuat prosedur pelaporan; dan f.mendo kumentasikan seluruh kegiatan. (2)Pelaksanaan kegiatan sebagaim ana dimaksud pada ayat (1) harus diintegrasikan dengan kegiatan manajemen perusahaan ."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 13,"(1)Prosedur informasi sebagaimana dimaksud dalam Pasal 12 ayat (1) huruf d harus memberikan jaminan bahwa informasi K3 dikomunikasikan kepada semua pihak dalam peru sahaan dan pihak terkait di luar perusahaan. (2)Prosedur pelaporan sebagaimana dimaksud dalam Pasal 12 ayat (1) huruf e terdiri atas pelaporan: a.terjadinya kecelakaan di tempat kerja; b.ketidaksesuaian terhadap peraturan perundang -undangan dan/atau standar ; c.kinerja K3 ; d.identifikasi sumber bahaya ; dan e.yang diwajibkan berdasarkan ketentuan peraturan perundang - undangan. (3)Pendokumentasian sebagaimana dimaksud dalam Pasal 12ayat (1) huruf f paling sedikit dilakukan terhadap: a.peraturan perundang -undangan di bidang K3 dan standar di bidang K3; b.indikator kinerja K3 ; c.izin kerja ; d.hasil identifikasi, penilaian, dan pengendalian r isiko; e.kegiatan pelatihan K3 ; f.kegiatan inspeksi, kalibrasi dan pemeliharaan ; g.catatan pemantauan data ; h.hasil pengkajian kecelakaan di tempat kerja d antindak lanjut ; i.identifikasi produk termasuk komposisinya ; j.informasi mengenai pemasok dan kontraktor ; dan k.audit dan peninjauan ulan gSMK3 . Bagian Kelima Pemantau andan Evaluasi Kinerja K3"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 14,"(1)Pengusaha wajib melakukan pemantauan dan evaluasi kinerja K3. (2)Pemantauan dan evaluasi kinerja K3 sebagaimana dimaksud pada ayat (1) melalui pemeriksaan, pengujian, pengukuran dan audit internal SMK3 dilakukan oleh sumber daya manusia yang kompeten. (3)Dalam hal perusahaan tidak memiliki sumber daya untuk melakukan pemantauan dan evaluasi kinerja K3 sebagaimana dimaksud pada ayat (2) dapat menggunakan jasa pihak lain. (4)Hasil pemantauan dan evaluasi kinerja K3 sebagaimana dimaksud pada ayat (2) dilaporkan kepada pengusaha. (5)Hasil pemantauan dan evaluasi kinerja K3 sebag aimana dimaksud pada ayat (2) digunakan untuk melakukan tindakan perbaikan. (6)Pelaksanaan pemantauan dan evaluasi kinerja K3 sebagaimana dimaksud pada ayat (2) dilakukan sesuai dengan ketentuan peraturan perundang -undangan dan/atau standar. Bagian Keenam Peninjau andanPeningkatan Kinerja SMK3"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 15,"(1)Untuk menjamin kesesuaian dan efektifitas penerapan SMK3 , pengusaha wajib melakukan peninjauan. (2)Peninjauan sebagaimana dimaksud pada ayat (1) dilakukan terhadap kebijakan, perencanaan, pelaksanaan, pemantauan d an evaluasi. (3)Hasil peninjauan sebagaimana dimaksud pada ayat (2) digunakan untuk melakukan perbaikan dan peningkatan kinerja. (4)Perbaikan dan peningkatan kinerja sebagaimana dimaksud pada ayat (3) dapat dilaksanakan dalam hal: a.terjadi p erubahan peraturan pe rundang -undangan ; b.adanya t untutan dari pihak yang terkait dan pasar ; c.adanya p erubahan produk dan kegiatan perusahaan ; d.terjadi p erubahan struktur organisasi perusahaan ; e.adanya p erkembangan ilmu pengetahuan dan teknologi, termasuk epidem iologi; f.adanya hasil kajian kecelakaan di tempat kerja; g.adanya p elaporan ; dan/atau h.adanya masukan dari pekerja /buruh. BAB III : PENILAIAN SMK3"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB III: PENILAIAN SMK3,PASAL 16,(1)Penilaian penerapan SMK3 dilakukan oleh lembaga audit independen yang ditunjuk oleh Menteri atas permohonan perusahaan. (2)Untuk perusahaan yang memiliki potensi bahaya tinggi wajib melakukan penilaian penerapan SMK3 sesuai dengan ketentuan peraturan perundang -undangan. (3)Penilaian sebagaimana dimaksud pada ayat ( 1) dilakukan melalui Audit SMK3 yang meliputi: a.pembangunan dan terjaminn ya pelaksanaan komitmen; b.pembuatan dan pendokumentasian rencana K3 ; c.pengendalian perancangan dan p eninjauan kontrak; d.pengendalian dokumen; e.pembelian dan pengendalian produk ; f.keamanan bekerja berdasarkan SMK3 ; g.standar pemantauan; h.pelaporan dan perbaikan ke kurangan; i.pengelolaan material dan pe rpindahannya ; j.pengumpulan dan penggunaan data; k.pemeriksaan SMK3 ;dan l.pengembangan keterampilan dan kemampuan. (4)Penilaian penerapan SMK3 sebagaimana dimaksud pada ayat ( 3) tertuang dalam pedoman yang tercantum dalam Lampi ran II sebagai bagian yang tidak terpisahkan dari Peraturan Pemerintah ini .
PP_No_50_Tahun_2012bt_cleaned.txt,BAB III: PENILAIAN SMK3,PASAL 17,"(1)Hasil audit sebagaimana dimaksud dalam Pasal 1 6dilaporkan kepada Menteri dengan tembusan disampaikan kepada menteri pembina sektor usaha, gubernur, dan bupati/walikota se bagai bahan pertimbangan dalam upaya peningkatan SMK3. (2)Bentuk laporan hasil audit sebagaimana dimaksud pada ayat (1) tertuang dalam pedoman yang tercantum dalam Lampiran III sebagai bagian yang tidak terpisahkan dari Peraturan Pemerintah ini. BAB IV : PENGAWASAN"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB IV: PENGAWASAN,PASAL 18,"(1)Pengawasan SMK3 dilakukan oleh pengawas ketenagakerjaan pusat, provinsi dan/atau kabupaten/kota sesuai dengan kewenangannya. (2)Pengawasan sebagaimana dimaksud pada ayat (1) meliputi: a.pembangunan dan terjaminnya pelaksanaan komitmen; b.organi sasi; c.sumber daya manusia ; d.pelaksanaan peraturan perundang -undangan bidang K3 ; e.keamanan bekerja; f.pemeriksaan, pengujian dan pengukuran penerapan SMK3; g.pengendalian keadaan darurat dan bahaya industri ; h.pelaporan dan perbaikan kekurangan; dan i.tindak lanjut a udit."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB IV: PENGAWASAN,PASAL 19,(1)Instansi pembina sektor usaha dapat melakukan pengawasan SMK3 terhadap pelaksanaan penerapan SMK3 yang dikembangkan sesuai dengan ketentuan peraturan perundang -undangan. (2)Pelaksanaan pengawasan sebagaimana dimaksud pada ayat (1) dilakukan sec ara terkoordinasi dengan pengawas ketenagakerjaan sesuai dengan ketentuan peraturan perundang -undangan.
PP_No_50_Tahun_2012bt_cleaned.txt,BAB IV: PENGAWASAN,PASAL 20,Hasil pengawasan sebagaimana dimaksud dalam Pasal 18 dan Pasal 19 digunakan sebagai dasar dalam melakukan pembinaan. BAB V : KETENTUAN PE RALIHAN
PP_No_50_Tahun_2012bt_cleaned.txt,BAB V: KETENTUAN PE RALIHAN,PASAL 21,"Pada saat Peraturan Pemerintah ini mulai berlaku, Perusahaan yang telah menerapkan SMK3, wajib menyesuaikan dengan ketentuan Peraturan Pemerintah ini paling lama 1 (satu) tahun. BAB VI : KETENTUAN PENUTUP"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB VI: KETENTUAN PENUTUP,PASAL 22,Peraturan Pemerintah mulai berlaku pada tanggal diundangkan.
