BAB,BAB_id,Label
BAB III: WAKIL MENTERI I,203402303,BAB
BAB IV: WAKIL MENTERI II,203402304,BAB
BAB V: SEKRETARIAT KEMENTERIAN,203402305,BAB
BAB VI: DEPUTI BIDANG HUKUM DAN PERUNDANG -UNDANGAN,203402306,BAB
"BAB VII: DEPUTI BIDANG SUMBER DAYA MANUSIA, TEKNOLOGI,",203402307,BAB
BAB VIII: DEPUTI BIDANG KEUANGAN DAN MANAJEMEN RISIKO,203402308,BAB
BAB IX: INSPEKTORAT,203402309,BAB
BAB X: STAF AHLI,203402310,BAB
BAB XI: KELOMPOK JABATAN FUNGSIONAL,203402311,BAB
BAB XII: TATA KERJA,203402312,BAB
BAB XIII:,203402313,BAB
BAB XIV: PENDANAAN,203402314,BAB
BAB XV: KETENTUAN PERALIHAN,203402315,BAB
BAB XVI: KETENTUAN PENUTUP,203402316,BAB
BAB I: KETENTUAN UMUM,204382101,BAB
BAB II: PROGRAM TANGGUNG JAWAB SOSIAL DAN LINGKUNGAN,204382102,BAB
BAB III: PENGELOLAAN PROGRAM TANGGUNG JAWAB SOSIAL,204382103,BAB
BAB IV: KOMITE TANGGUNG JAWAB SOSIAL DAN LINGKUNGAN,204382114,BAB
BAB V: KINERJA PROGRAM TANGGUNG JAWAB SOSIAL DAN,204382105,BAB
BAB VI: KETENTUAN PERALIHAN,204382106,BAB
BAB VII: KETENTUAN PENUTUP,204382107,BAB
BAB I: KETENTUAN UM UM,204731801,BAB
BAB II: PEMBERIAN TUNJANGAN KINERJA,204731802,BAB
BAB III: PENGHITUNGAN TUNJANGAN KINERJA,204731803,BAB
BAB IV: TINGKAT  CAPAIAN SKP BULANAN,204731804,BAB
BAB V: TINGKAT KEHADIRAN/ KETENTUAN JAM KERJA,204731805,BAB
BAB VI: KODE ETIK DAN DISIPLIN PNS,204731806,BAB
BAB VII: PEMBAYARAN TUNJANGAN KINERJA,204731807,BAB
BAB VIII: APRESIASI KINERJA,204731808,BAB
BAB IX: KETENTUAN LAIN -LAIN,204731809,BAB
BAB X: PENUTUP,204731810,BAB
BAB I: KETENTUAN UMUM,205762201,BAB
BAB II: ORGANISASI JARINGAN DOKUMENTASI DAN INFORMASI,205762202,BAB
BAB III:,205762203,BAB
BAB IV: MONITORING DAN EVALUASI,205762204,BAB
BAB V: PENDANAAN,205762205,BAB
BAB VI:,205762206,BAB
BAB I: KETENTUAN UMUM,207842001,BAB
BAB II: NILAI -NILAI,207842002,BAB
BAB III: KODE ETIK DAN KODE PERILAKU,207842003,BAB
BAB IV: PENCEGAHAN,207842004,BAB
BAB V: PENEGAKAN,207842005,BAB
BAB VI: PEMBERIAN SANKSI,207842006,BAB
BAB VII: PEMANTAUAN DAN EVALUASI,207842007,BAB
BAB VIII: KETENTUAN PENUTUP,207842008,BAB
BAB I: KETENTUAN UMUM,208152101,BAB
BAB II: LAPORAN GRATIFIKASI,208152102,BAB
BAB III: PENANGANAN LAPORAN GRATIFIKASI,208152103,BAB
BAB IV: KOMPENSASI,208152104,BAB
BAB V: UNIT PENGENDALIAN GRATIFIKASI,208152105,BAB
BAB VI: HAK DAN PERLINDUNGAN PELAPOR,208152106,BAB
BAB VII: KETENTUAN PENUTUP,208152107,BAB
"BAB VIII: PERENCANAAN,  PENERAPAN, MONITORING DAN EVALUASI",208352208,BAB
BAB IX: PELAPORAN MANAJEMEN RISIKO,208352209,BAB
BAB X: KETENTUAN PENUTUP,208352210,BAB
"BAB II: PENGANGKATAN, KENAIKAN PANGKAT  DAN JABATAN,",209342102,BAB
BAB III: PELANTIKAN  DAN PENGAMBILAN  SUMPAH/JANJI  JABATAN,209342103,BAB
"BAB IV: JENJANG JA BATAN , PANGKAT, GOLONGAN RUANG,",209342104,BAB
"BAB V: SKP, TARGET ANGKA KREDIT MINIMAL PER TAHUN,  DAN",209342105,BAB
"BAB VI: PROSEDUR, PERIODE, DAN RINCIAN KEGIATAN PENILAIAN",209342106,BAB
BAB VII:,209342107,BAB
BAB VIII: KETENTUAN PENUTUP,209342108,BAB
BAB I: KETENTUAN UMUM,209582101,BAB
BAB II: PERSYARATAN ANGGOTA DIREKSI BUMN,209582102,BAB
BAB III: MANAJEMEN TALENTA,209582103,BAB
BAB IV:,209582104,BAB
BAB V: UJI KELAYAKAN DAN KEPATUTAN,209582105,BAB
BAB VI:,209582106,BAB
BAB VII: ALASAN DAN TATA CARA  PEMBERHENTIAN ANGGOTA,209582107,BAB
BAB VIII:,209582108,BAB
BAB IX: KETENTUAN PERALIHAN,209582109,BAB
BAB X: KETENTUAN PENUTUP,209582110,BAB
"BAB II: dan BAB III disisipkan 1(satu) BAB,",209612202,BAB
BAB I: KETENTUAN UMUM,300292101,BAB
BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,BAB
BAB III: PENGGUNAAN ATAU KELENGKAPAN LABEL BERBAHASA,300292103,BAB
BAB IV: DISTRIBUSI BARANG,300292104,BAB
BAB V: SARANA  PERDAGANGAN,300292105,BAB
BAB VI: PELAPORAN,300292106,BAB
BAB VII: STANDARDISASI,300292107,BAB
BAB VIII: PENGEMBANGAN EKSPOR,300292108,BAB
BAB IX: METROLOGI LEGAL,300292109,BAB
BAB X: PELAKSANAAN PENGAWASAN KEGIATAN PERDAGANGAN,300292110,BAB
BAB XI: SANKSI ADMINISTRATIF,300292111,BAB
BAB XII: KETENTUAN LAIN  LAIN,300292112,BAB
BAB XIII: KETENTUAN PERALIHAN,300292113,BAB
BAB XIV: KETENTU AN PENUTUP,300292114,BAB
BAB I: KETENTUAN UMUM,300330501,BAB
BAB II: CARA PRIVATISASI,300330502,BAB
BAB III: KRITERIA PERSERO YANG DAPAT DIPRIVATISASI,300330503,BAB
BAB IV: PROSEDUR PRIVATISASI PERSERO,300330504,BAB
BAB V: LAIN LAIN,300330505,BAB
BAB VI: KETENTUAN PERALIHAN,300330506,BAB
BAB VII: KETENTUAN PENUTUP,300330507,BAB
BAB I: PENAMBAHAN PENYERTAAN MODAL,300040301,BAB
BAB II: PELAKSANAAN PENAMBAHAN PENYERTAAN MODAL,300040302,BAB
BAB III: KETENTUAN PENUTUP,300040303,BAB
BAB I: KETENTUAN UMUM,300342101,BAB
BAB II: KEWAJIBAN DAN LARANGAN BAGI,300342102,BAB
BAB III: PENGESAHAN RENCANA PENGGUNAAN,300342103,BAB
BAB IV: IZIN TINGGAL TENAGA KERJA ASING,300342104,BAB
BAB V: PENDIDIKAN DAN PELATIHAN  KERJA  BAGI TENAGA,300342105,BAB
"BAB VI: PELAPORAN , PEMBINAAN, DAN PENGAWASAN",300342106,BAB
BAB VII: SANKSI ADMINISTRATIF,300342107,BAB
BAB VIII: PENDANAAN,300342108,BAB
BAB IX: KETENTUAN LAIN  LAIN,300342109,BAB
BAB X: KETENTUAN PERALIHAN,300342110,BAB
BAB XI: KETENTUAN PENUTUP,300342111,BAB
BAB VI: PENGAWASAN KETENAGAKERJAAN,300352106,BAB
BAB VII: SANKSI ADMINISTRATIF,300352107,BAB
BAB VIII: KETENTUAN PERALIHAN,300352108,BAB
BAB IX: KETENTUAN PENUTUP,300352109,BAB
BAB I: KETENTUAN UMUM,300362101,BAB
BAB II: KEBIJAKAN PENGUPAHAN,300362102,BAB
BAB III: UPAH BERDASARKAN SATUAN WAKTU,300362103,BAB
BAB IV: STRUKTUR DAN SKALA UPAH,300362104,BAB
BAB V: UPAH MINIMUM,300362105,BAB
BAB VI: UPAH TERENDAH PADA USAHA MIKRO DAN USAHA,300362106,BAB
BAB VII: PELINDUNGAN UPAH,300362107,BAB
BAB VIII: BENTUK DAN CARA PEMBAYARAN UPAH,300362108,BAB
BAB IX: HAL HAL YANG DAPAT DIPERHITUNGKAN DENGAN UPAH,300362109,BAB
BAB X: UPAH SEBAGAI DASAR PERHITUNGAN ATAU,300362110,BAB
BAB XI: DEWAN PENGUPAHAN,300362111,BAB
BAB XII: PENGAWASAN,300362112,BAB
BAB XIII: SANKSI ADMINISTRATIF,300362113,BAB
BAB XIV: KETENTUAN PERALIHAN,300362114,BAB
BAB XV: KETENTUAN PENUTUP,300362115,BAB
BAB I: KETENTUAN UMUM,300372101,BAB
BAB II: KEPESERTAAN DAN T ATA CARA PENDAFTARAN,300372102,BAB
BAB III: IURAN DAN TATA CARA PEMBAYARAN  IURAN,300372103,BAB
BAB IV: MANFAAT  JKP,300372104,BAB
BAB V: SUMBER PENDANAAN,300372105,BAB
BAB VI: PENGAWASAN KETENAGAKERJAAN,300372106,BAB
BAB VII: PENYELESAI AN SENGKETA,300372107,BAB
BAB VIII: SANKSI ADMINISTRATIF,300372108,BAB
BAB IX: KETENTUAN PENUTUP,300372109,BAB
BAB I: KETENTUAN UMUM,300501201,BAB
BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,300501202,BAB
BAB III: PENILAIAN SMK3,300501203,BAB
BAB III: PENILAIAN SMK3,300501200,BAB
BAB IV: PENGAWASAN,300501204,BAB
BAB V: KETENTUAN PE RALIHAN,300501205,BAB
BAB VI: KETENTUAN PENUTUP,300501206,BAB
BAB I: KETENTUAN UMUM,100130301,BAB
"BAB II: LANDASAN, ASAS, DAN TUJUAN",100130302,BAB
BAB III: KESEMPATAN DAN PERLAKUAN YANG SAMA,100130303,BAB
BAB IV: PERENCANAAN TENAGA KERJA DAN,100130304,BAB
BAB V: PELATIHAN KERJA,100130305,BAB
BAB VI: PENEMPATAN TENAGA KERJA,100130306,BAB
BAB VII: PERLUASAN KESEMPATAN KERJA,100130307,BAB
BAB VIII: PENGGUNAAN TENAGA KERJA ASING,100130308,BAB
BAB IX: HUBUNGAN KERJA,100130309,BAB
"BAB X: PERLINDUNGAN, PENGUPAHAN, DAN",100130310,BAB
BAB XI: HUBUNGAN INDUSTRIAL,100130311,BAB
BAB XII: PEMUTUSAN HUBUNGAN KERJA,100130312,BAB
BAB XIII: PEMBINAAN,100130313,BAB
BAB XIV: PENGAWASAN,100130314,BAB
BAB XV: PENYIDIKAN,100130315,BAB
BAB XVI: KETENTUAN PIDANA DAN,100130316,BAB
BAB XVII: KETENTUAN PERALIHAN,100130317,BAB
BAB XVIII: KETENTUAN PENUTUP,100130318,BAB
BAB I: KETENT UAN UMUM,100141901,BAB
BAB II: PRAKTIK PEKERJAAN SOSIAL,100141902,BAB
BAB III: STANDAR PRAKTIK PEKERJAAN SOSIAL,100141903,BAB
BAB IV: PENDIDIKAN PROFESI PEKERJA SOSIAL,100141904,BAB
BAB V: REGISTRASI DAN IZIN PRAKTIK,100141905,BAB
BAB VI: HAK DAN KEWAJIBAN,100141906,BAB
BAB VII: ORGANISASI PEKERJA  SOSIAL,100141907,BAB
BAB VIII: DEWAN KEHORMATAN KODE ETIK,100141908,BAB
BAB IX: TUGAS DAN WEWENANG,100141909,BAB
BAB X: PERAN SERTA MASYARAKAT,100141910,BAB
BAB XI: KETENTUAN PERALIHAN,100141911,BAB
BAB X: II,100141912,BAB
BAB I: KETENTUAN UMUM,100181701,BAB
BAB II: PEKERJA MIGRAN INDONESIA,100181702,BAB
BAB III: PELINDUNGAN PEKERJA MIGRAN INDONESIA,100181703,BAB
BAB IV: LAYANAN TERPADU SATU ATAP PENEMPATAN DAN,100181704,BAB
BAB V: TUGAS DAN  TANGGUNG JAWAB PEMERINTAH PUSAT,100181705,BAB
BAB VI: KELEMBAGAAN,100181706,BAB
BAB VII: PELAKSANA PENEMPATAN PEKERJA MIGRAN INDONESIA,100181707,BAB
BAB VIII: PEMBINAAN DAN PENGAWASAN,100181708,BAB
BAB IX: PENYELESAIAN PERSELIS IHAN,100181709,BAB
BAB X: PENYIDIKAN,100181710,BAB
BAB XI: KETENTUAN PIDANA,100181711,BAB
BAB XII: KETENTUAN PERALIHAN,100181712,BAB
BAB XIII: KETENTUAN PENUTUP,100181713,BAB
BAB I: KETENTUAN UMUM,100190301,BAB
BAB II: PERSERO,100190302,BAB
BAB III: PERUM,100190303,BAB
"BAB IV: PENGGABUNGAN, PELEBURAN, P ENGAMBILALIHAN,",100190304,BAB
BAB V: KEWAJIBAN,100190305,BAB
"BAB VI: SATUAN PENGAWASAN INTERN,",100190306,BAB
BAB VII: PEMERIKSAAN EKSTERNAL,100190307,BAB
BAB VIII: RESTRUKTURISASI DAN PRIVATISASI,100190308,BAB
BAB IX: KETENTUAN LAIN -LAIN,100190309,BAB
BAB X: KETENTUAN PERALIHAN,100190310,BAB
BAB XI: KETENTUAN PENUTUP,100190311,BAB
BAB I: KETENTUAN UMUM,100210001,BAB
"BAB II: ASAS, SIFAT, DAN TUJUAN",100210002,BAB
BAB III: PEMBENTUKAN,100210003,BAB
BAB IV: KEANGGOTAAN,100210004,BAB
BAB V: PEMBERITAHUAN DAN PENCATATAN,100210005,BAB
BAB VI: HAK DAN KEWAJIBAN,100210006,BAB
