Start_id,End_id,Type
3003621,300362111,CONTAINS
3003621,300362112,CONTAINS
3003621,300362113,CONTAINS
3003621,300362114,CONTAINS
3003621,300362115,CONTAINS
3003721,300372101,CONTAINS
3003721,300372102,CONTAINS
3003721,300372103,CONTAINS
3003721,300372104,CONTAINS
3003721,300372105,CONTAINS
3003721,300372106,CONTAINS
3003721,300372107,CONTAINS
3003721,300372108,CONTAINS
3003721,300372109,CONTAINS
3005012,300501201,CONTAINS
3005012,300501202,CONTAINS
3005012,300501203,CONTAINS
3005012,300501200,CONTAINS
3005012,300501204,CONTAINS
3005012,300501205,CONTAINS
3005012,300501206,CONTAINS
1001303,100130301,CONTAINS
1001303,100130302,CONTAINS
1001303,100130303,CONTAINS
1001303,100130304,CONTAINS
1001303,100130305,CONTAINS
1001303,100130306,CONTAINS
1001303,100130307,CONTAINS
1001303,100130308,CONTAINS
1001303,100130309,CONTAINS
1001303,100130310,CONTAINS
1001303,100130311,CONTAINS
1001303,100130312,CONTAINS
1001303,100130313,CONTAINS
1001303,100130314,CONTAINS
1001303,100130315,CONTAINS
1001303,100130316,CONTAINS
1001303,100130317,CONTAINS
1001303,100130318,CONTAINS
1001419,100141901,CONTAINS
1001419,100141902,CONTAINS
1001419,100141903,CONTAINS
1001419,100141904,CONTAINS
1001419,100141905,CONTAINS
1001419,100141906,CONTAINS
1001419,100141907,CONTAINS
1001419,100141908,CONTAINS
1001419,100141909,CONTAINS
1001419,100141910,CONTAINS
1001419,100141911,CONTAINS
1001419,100141912,CONTAINS
1001817,100181701,CONTAINS
1001817,100181702,CONTAINS
1001817,100181703,CONTAINS
1001817,100181704,CONTAINS
1001817,100181705,CONTAINS
1001817,100181706,CONTAINS
1001817,100181707,CONTAINS
1001817,100181708,CONTAINS
1001817,100181709,CONTAINS
1001817,100181710,CONTAINS
1001817,100181711,CONTAINS
1001817,100181712,CONTAINS
1001817,100181713,CONTAINS
1001903,100190301,CONTAINS
1001903,100190302,CONTAINS
1001903,100190303,CONTAINS
1001903,100190304,CONTAINS
1001903,100190305,CONTAINS
1001903,100190306,CONTAINS
1001903,100190307,CONTAINS
1001903,100190308,CONTAINS
1001903,100190309,CONTAINS
1001903,100190310,CONTAINS
1001903,100190311,CONTAINS
1002100,100210001,CONTAINS
1002100,100210002,CONTAINS
1002100,100210003,CONTAINS
1002100,100210004,CONTAINS
1002100,100210005,CONTAINS
1002100,100210006,CONTAINS
1002100,100210007,CONTAINS
1002100,100210008,CONTAINS
1002100,100210009,CONTAINS
1002100,100210010,CONTAINS
1002100,100210011,CONTAINS
1002100,100210012,CONTAINS
1002100,100210013,CONTAINS
1002100,100210014,CONTAINS
1002100,100210015,CONTAINS
1000204,100020401,CONTAINS
1000204,100020402,CONTAINS
1000204,100020403,CONTAINS
1000204,100020404,CONTAINS
1000204,100020405,CONTAINS
1000204,100020406,CONTAINS
1000204,100020407,CONTAINS
1000204,100020408,CONTAINS
1004004,100400401,CONTAINS
1004004,100400402,CONTAINS
