Start_id,End_id,Type
1004007,100400700055,CONTAINS
1004007,100400700056,CONTAINS
1004007,100400700057,CONTAINS
1004007,100400700058,CONTAINS
1004007,100400700059,CONTAINS
1004007,100400700060,CONTAINS
1004007,100400700061,CONTAINS
1004007,100400700062,CONTAINS
1000623,100062300001,CONTAINS
1000623,100062300002,CONTAINS
