judul,BAB,Pasal,Content
PERMEN_BUMN_No_1198_Tahun_2019_Dirubah_280_2022_cleaned.txt,UNKNOWN,PASAL 1,"Jabatan dan kelas jabatan pimpinan tinggi utama, pimpinan  tinggi madya, pimpinan tinggi pratama, administrator, dan  pengawas di lingkungan Kementerian Badan Usaha Milik  Negara adalah sebagaimana tercantum dalam Lampiran I  yang merupakan bag ian tidak terpisahkan dari Peraturan  Menteri Badan Usaha Milik Negara."
PERMEN_BUMN_No_1198_Tahun_2019_Dirubah_280_2022_cleaned.txt,UNKNOWN,PASAL 2,Jabatan dan kelas jabatan fungsional keahlian dan fungsional  ketrampilan di lingkungan Kementerian Badan Usaha Milik  Negara adalah sebagaimana tercantum dalam Lampiran II  yang merupakan bagian tidak terpisahkan dari Peraturan  Menteri Badan Usaha Milik Negara ini.
PERMEN_BUMN_No_1198_Tahun_2019_Dirubah_280_2022_cleaned.txt,UNKNOWN,PASAL 3,Jabatan dan kelas jabatan pelaksana di lingkungan  Kementerian Badan Usaha Milik Negara adalah sebagaimana  tercantum dalam Lampiran III yang merupakan bagian t idak  terpisahkan dari Peraturan Menteri Badan Usaha Milik  Negara ini.
PERMEN_BUMN_No_1198_Tahun_2019_Dirubah_280_2022_cleaned.txt,UNKNOWN,PASAL 4,"Pada saat Peraturan Menteri ini berlaku, Peraturan Menteri  Badan Usaha Milik Negara Nomor PER -16/MBU/10/2014  tentang Kelas Jabatan di Lingkungan Kementerian Badan  Usaha Milik N egara, dicabut dan dinyatakan tidak berlaku."
PERMEN_BUMN_No_1198_Tahun_2019_Dirubah_280_2022_cleaned.txt,UNKNOWN,PASAL 5,Peraturan Menteri ini mulai berlaku pada tanggal 1 Oktober  2019.
