judul,Pasal,Content
PP_No_41-Tahun_2003_cleaned.txt,PASAL 1,"Kedudukan, tugas, da n kewenangan Menteri Keuangan di bidang  pembinaan dan pengawasan BUMN sebagian dilimpahkan kepada Menteri  Negara Badan Usaha Milik Negara."
PP_No_41-Tahun_2003_cleaned.txt,PASAL 2,"Kedudukan, tugas dan kewenangan Menteri Keuangan yang dilimpahkan  kepada Menteri Negara Badan Usaha Milik Negara sebagaimana dimaksud  dalam Pasal 1 adalah yang mewakili Pemerintah selaku:   a.Pemegang Saham atau Rapat Umum Pemegang Saham (RUPS) sebagaimana  diatur dalam Peraturan Pemerintah Nomor 12 Tahun 1998 tentang  Perusahaan Perseroan (PERSERO) sebagaimana te lah diubah dengan  Peraturan Pemerintah Nomor 45 Tahun 2001 dan Perseroan Terbatas  yang sebagian sahamnya dimiliki oleh Negara Republik Indonesia;   b.Wakil Pemerintah pada Perusahaan Umum (PERUM) sebagaimana diatur  dalam Peraturan Pemerintah Nomor 13 Tahun 1 998 tentang  Perusahaan Umum (PERUM); dan   c.Pembina Keuangan pada Perusahaan Jawatan (PERJAN) sebagaimana  diatur dalam Peraturan Pemerintah Nomor 6 Tahun 2000 tentang  Perusahaan Jawatan (PERJAN)."
PP_No_41-Tahun_2003_cleaned.txt,PASAL 3,"(1)Pelimpahan kedudukan, tugas dan kewenangan Men teri Keuangan  sebagaimana dimaksud dalam Pasal 1 tidak meliputi:    a.penatausahaan setiap penyertaan modal Negara berikut  perubahannya ke dalam PERSERO/Perseroan Terbatas dan  PERUM, serta kegiatan penatausahaan kekayaan Negara yang  dimanfaatkan oleh PERJAN;    b.pengusulan setiap penyertaan modal Negara ke dalam  PERSERO/Perseroan Terbatas dan PERUM yang dananya berasal  dari Anggaran Pendapatan dan Belanja Negara, serta  pemanfaatan kekayaan Negara dalam PERJAN;   c.pendirian PERSERO, PERUM, atau PERJAN dan perub ahan bentuk  hukum PERJAN.   (2)Dalam melaksanakan kedudukan, tugas dan kewenangan sebagaimana  dimaksud dalam Pasal 2, Menteri Negara Badan Usaha Milik Negara  wajib memperoleh persetujuan Menteri Keuangan terlebih dahulu,  dalam hal penggunaan sisa penerimaan PERJAN pada akhir tahun  anggaran."
PP_No_41-Tahun_2003_cleaned.txt,PASAL 4,"Dengan berlakunya Peraturan Pemerintah ini, maka Peraturan  Pemerintah Nomor 64 Tahun 2001 tentang Pengalihan Kedudukan, Tugas  dan Kewenangan Menteri Keuangan pada Perusahaan Perseroan (PERSERO),  Perusahaan Umum (PERUM) dan Perusahaan Jawatan (PERJAN) kepad a  Menteri Negara Badan Usaha Milik Negara, dinyatakan tidak berlaku."
PP_No_41-Tahun_2003_cleaned.txt,PASAL 5,"(1)Segala peraturan pelaksanaan Peraturan Pemerintah Nomor 12 Tahun  1998 tentang Perusahaan Perseroan (PERSERO) sebagaimana telah  diubah dengan Peraturan Pemerintah Nomor 45 Ta hun 2001  sepanjang tidak bertentangan atau belum diubah sesuai dengan  Peraturan Pemerintah ini, dinyatakan tetap berlaku.   (2)Segala ketentuan pelaksanaan Peraturan Pemerintah Nomor 64 Tahun  2001 tentang Pengalihan Kedudukan, Tugas dan Kewenangan Menteri  Keuangan pada Perusahaan Perseroan (PERSERO), Perusahaan Umum  (PERUM) dan Perusahaan Jawatan (PERJAN) kepada Menteri Negara  Badan Usaha Milik Negara, tetap berlaku sepanjang belum diatur  berdasarkan Peraturan Pemerintah ini."
PP_No_41-Tahun_2003_cleaned.txt,PASAL 6,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan.
PP_No_64_Tahun_2023_cleaned.txt,PASAL 1,Negara Republik Indonesia melakukan penambahan penyertaan modal negara ke dalam modal Perusahaan Umum (Perum) l€mbaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia yang didirikan berdasarkan Peraturan Pemerintah Nomor 77 Tahun 2Ol2tentang Perusahaan Umum (Perum) Iembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia.
PP_No_64_Tahun_2023_cleaned.txt,PASAL 2,"(1) Nilai penambahan penyertaan modal negara ss$agaimana dimaksud dalam Pasal 1 sebesar Rp892. O09.99 6. 47 1,7 7 (delapan ratus sembilan puluh dua miliar sembilan juta sembilan ratus sembilan puluh enam ribu empat ratus tujuh puluh satu rupiah tujuh puluh tujuh sen). l2l Penambahan penyertaan modal negara sebagaimana dimaksud pada ayat (1) berasal dari pengalihan Barang Milik Negara pada Kementerian Perhubungan dengan rincian sebagaimana tercantum dalam Lampiran yang merupakan bagran tidak terpisahkan dari Peraturan Pemerintah ini."
PP_No_64_Tahun_2023_cleaned.txt,PASAL 3,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan. SK No 167384AAgarFRESIDEN REPUELIK INDONESIA 5-
